command,dn,member
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=lysiane.angremy,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=toto2.toto1,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv89.zt89,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=dupont.marie,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=zt.x23,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv98.zt98,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=spp.salle,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=charlotte.ofraise,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=O30.v1,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv02.zt02,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv95.zt95,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv91.zt91,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sylvie6.guichaoua6,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=testtest.testtest,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=assistante1.tataa1,OU=SJ1,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=test3.test1,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=mayotte.salle,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=ftftr.cvcv,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=test11.test10,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv92.zt92,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=uv97.zt97,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=groupe_internet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=zt06.uv06,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=lydie.farque,OU=S11,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=catherine.lejeune,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=elsa.aubert,OU=S10,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sandrine.laplace,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=rachel.monnoye,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=nathalie.meunier,OU=S04,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sandrine.lezay,OU=S08,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS02,OU=S02,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=valerie.bergerou,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
